set,MWa,logKowb,Mptc,LogSaqd,LogSoce,Hdf,Hag,Texpi,Skin thicknessj,logJmaxm
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-7.290988965224935
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.982226519330263
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.117506089276782
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-7.98607553550118
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-7.8782216895576065
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-7.6503825762520625
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.969637392022243
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.430920066056068
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.029405597025733
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-7.765517409366318
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-9.036584181652856
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.806135260274582
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.480281680885568
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.169313162687407
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-7.945503712305523
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.945503712305523
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.4492474471456
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.389853795405433
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.193559150261464
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-7.8604929225971745
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.890456145974618
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.57920698512895
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.175248942767913
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-7.930506662403896
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-7.797702092737719
